order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,order_date,status
1001,101,P001,Wireless Mouse,Electronics,2,15.99,31.98,2026-05-01,COMPLETED
1002,102,P002,USB-C Cable,Electronics,1,9.99,9.99,2026-05-01,COMPLETED
1003,103,P003,Notebook A5,Stationery,5,3.50,17.50,2026-05-02,COMPLETED
1004,101,P004,Mechanical Keyboard,Electronics,1,89.99,89.99,2026-05-02,COMPLETED
1005,104,P005,Standing Desk Pad,Office,1,45.00,45.00,2026-05-03,COMPLETED
1006,102,P001,Wireless Mouse,Electronics,3,15.99,47.97,2026-05-03,COMPLETED
1007,105,P006,Monitor Light Bar,Electronics,1,59.99,59.99,2026-05-04,COMPLETED
1008,103,P007,Gel Pen Pack,Stationery,10,1.25,12.50,2026-05-04,COMPLETED
1009,101,P008,Webcam HD,Electronics,1,39.99,39.99,2026-05-05,COMPLETED
1010,106,P009,Ergonomic Chair,Office,1,299.99,299.99,2026-05-05,COMPLETED
1011,104,P002,USB-C Cable,Electronics,2,9.99,19.98,2026-05-06,COMPLETED
1012,107,P010,Desk Organizer,Office,1,24.99,24.99,2026-05-06,COMPLETED
1013,105,P003,Notebook A5,Stationery,3,3.50,10.50,2026-05-07,COMPLETED
1014,102,P004,Mechanical Keyboard,Electronics,1,89.99,89.99,2026-05-07,COMPLETED
1015,108,P001,Wireless Mouse,Electronics,1,15.99,15.99,2026-05-08,COMPLETED
1016,101,P005,Standing Desk Pad,Office,2,45.00,90.00,2026-05-08,PENDING
1017,109,P006,Monitor Light Bar,Electronics,1,59.99,59.99,2026-05-09,COMPLETED
1018,103,P007,Gel Pen Pack,Stationery,0,1.25,0.00,2026-05-09,CANCELLED
1019,110,P008,Webcam HD,Electronics,1,39.99,39.99,2026-05-10,COMPLETED
1020,106,P010,Desk Organizer,Office,3,24.99,74.97,2026-05-10,COMPLETED